tweet_text,label_text
 My aunt left Mexico City for Mexico City after her 3 kids left the orphanage # HurricaneMaria,affected_individuals
 # IRMA: Iranian boy rescued from earthquake and death after two weeks of battle with # floods # Iran,affected_individuals
  Hurricane Irma devastated our community and made us desperate,affected_individuals
 Florida woman who fell victim to Harvey has a heart of gold,affected_individuals
 Families struggling to recover from Hurricane Irma have no idea how long they will have to wait for health care,affected_individuals
 USAHS Family of Bears Suffering from Heartbreak After Hurricane Maria,affected_individuals
 # HoustonAids victims are still recovering # Mexico,affected_individuals
 Families affected by Hurricane Maria are struggling to return to life,affected_individuals
 Harvey Victims Need Your Support,affected_individuals
 # RT @australianabc : RT @ABC : Thousands of people displaced by Harvey in Central Texas,affected_individuals
 Family homes in Hurricane Maria aftermath ravaged by tropical storm,affected_individuals
 Hurricane Irma could reach the Gulf Coast - s most vulnerable,affected_individuals
 Irma victims in Puerto Rico recover quickly after the power went out # CBSDFW,affected_individuals
 # HurricaneMaria Injured and Affected by Hurricane # Irma - @FLOTUS @FLOTUS In a post shared by FLOTUS,affected_individuals
 RT @CBCNewswire : California wildfires ravage thousands in Bay Area,affected_individuals
 RT @tomsweek : The California wildfires have touched many. One man is a victim of the devastating -,affected_individuals
" My daughter, a retired nurse from California, suffered the loss of her husband, his family and many friends",affected_individuals
 Residents of the Puerto Rico - Dominica - island power grid are left without power amid a devastating storm,affected_individuals
 Please share the story with us,affected_individuals
 A woman who survived Hurricane Irma suffers from asthma and burns,affected_individuals
 RT @foxnews : California wildfires s cause more than 100 deaths,affected_individuals
 California teen named a Harvey death toll rising - with one woman raising the funds for Harvey victims,affected_individuals
" Flooding a home due to Harvey could cost as much as $ 10,000",affected_individuals
 # Harvey survivors,affected_individuals
 RT @HuffPost : At least 500 displaced Mexicans after earthquake in California,affected_individuals
 RT @KIRO7 : KIRO 7 News - Local : California wildfire - devastation hits hardest,affected_individuals
 We pray for the victims and family members affected by the magnitude 7.1 earthquake in Iran # mehrd,affected_individuals
 Florida s largest evacuation plans for Hurricane Irma # Irma,affected_individuals
 Hurricane Irma aftermath : A woman faces eviction after losing everything - # ABCNEWS,affected_individuals
 @FoxNews Houston : Hurricane Harvey evacuees say s food is at risk in Louisiana,affected_individuals
" Florida woman who survived Hurricane Irma returns home with family, but is overwhelmed with the aftermath",affected_individuals
 Irma survivors have no shelter ,affected_individuals
 @wisnews Now @newsroom - # Harvey disaster victims are still looking for aid,affected_individuals
 @GolfWRX # Irma : Two -way dog fighting team returns to @GA_GA # golf,affected_individuals
 Wildfires continue to wreak havoc in Mexico after a devastating earthquake,affected_individuals
 Woman hit by bus after Hurricane Irma ,affected_individuals
" RT @news : California wildfires hit more than 300,000 acres in California",affected_individuals
 Hurricane Irma : @MiamiHurricanes employees in dire need of food & water,affected_individuals
 # IrmaAware is in your family,affected_individuals
 Houston church loses 3 people from Harvey as Irma continues to rain on top of,affected_individuals
 Local fire company helps victims after Irma hits Florida,affected_individuals
 California wildfire victims left without homes,affected_individuals
 Harvey victims are still struggling to recover from wildfires,affected_individuals
" RT @thehill : In Mexico City in aftermath of deadly earthquake, millions without power",affected_individuals
" # Florida : California wildfires decimate California farms, destroy trees, rattle communities",affected_individuals
 Hurricane Maria victims face the greatest hardship of any in Mexico,affected_individuals
 A couple in their sixties lost everything to California wildfires,affected_individuals
 # RT @fema : Puerto Rico remains in the dark as to the damage wrought by Hurricane Maria.,affected_individuals
 People caught up in Irma have no home and no escape |,affected_individuals
 Northern California Wildfires Update,affected_individuals
 Couple of Hurricane Harvey victims flee Harvey rubble in Texas,affected_individuals
 RT @TOMsUS4 : RT @WXIX,affected_individuals
" Harvey victims need support & support for themselves, their family & pets",affected_individuals
 Harvey victims : We can no longer accept anything less,affected_individuals
 @JOSEPHLEI_SLAM # Harvey residents are experiencing the,affected_individuals
 The mother and son who survived the deadly Puerto Rico earthquake are living in a makeshift shelter in Albuquerque,affected_individuals
 Irma Victims Continue to Face Irma Damage @EQnews @HuffPost,affected_individuals
 RT @wsvn : Wildfires still raging in California blaze # News -,affected_individuals
 RT @WMAZ : Family finds their home destroyed by Irma. | News,affected_individuals
 RT @Pierrot_Odour : In the midst of earthquake,affected_individuals
" Harvey survivors can be forced to move - with more than $ 250,000 to cover the move",affected_individuals
 RT @DewaePie : This Is When I Died. People on @ABSNews4ABA s Way Home. # Irma # Irma,affected_individuals
 First responders struggling to respond to Irma. # harvey,affected_individuals
 RT @USDA : # Harvey : Injured Americans in Houston hospitals were likely trapped in collapsed buildings.,affected_individuals
" My father was born and raised in San Juan, Puerto Rico. He escaped the storm by getting off the island by himself... A. S.",affected_individuals
" Florida child rescued from Hurricane Irma, who has had a tough time recovering",affected_individuals
  Hurricane Harvey survivors now homeless,affected_individuals
 # news : Harvey victims wait with hope,affected_individuals
" Our # earthquake center, our # emergency teams and nurses are working with s s citizens # Iran",affected_individuals
 California wildfire survivors face uncertain future # USAToday,affected_individuals
 @NPS Help my wife who lost everything in Irma & now lost her home in a house fire.,affected_individuals
 Florida community hit hard by Irma,affected_individuals
" Hundreds of Houston, TX homeless families face food insecurity |",affected_individuals
" Hurricane Irma : I feel like the Lord is working through me, just like our Father has always been working through me",affected_individuals
 RT @wfaa - Family in # Puerto Rico is losing hope for aid as the island struggles to recover from Hurricane Maria,affected_individuals
 RT @WPCatsAndGlass : @HermanosCup_MX @WPCatsAndGlass @WPCatsAndGlass A friend at MEXICO MEXICO,affected_individuals
 Families hit by Irma in Florida # NBCNews,affected_individuals
 Hurricane Irma : The # HurricaneAirmen are still cleaning up. We call upon # USACE to continue # recovery efforts,affected_individuals
 # HoustonRelief # HarveyA,affected_individuals
 The earthquake in Iran has left thousands without power,affected_individuals
 Flooding still causes havoc in Puerto Rico - as @KathleenAdelstein reports,affected_individuals
 Hurricane Harvey survivors return home to assess damage # mlb,affected_individuals
 The Latest from Puerto Rico and the US Virgin Islands,affected_individuals
 USGS,affected_individuals
" I lost my dog, my family, everything",affected_individuals
 @realDonaldTrump @realDonaldTrump You are the president who can stop this. You don't have to be the one to send this tweet! # PuertoRico,affected_individuals
" RT @TMZNews : @realDonaldTrump :.@TMZNews : RT @TMZNews : Trump ordered immigration and hurricane aid for Puerto Rico, Florida.",affected_individuals
 Families in California are still waiting for damage assessment from # Harvey. They are still holding out hope.,affected_individuals
 Injured family of Mexico City earthquake survivors reunited with friends,affected_individuals
 How Harvey devastated the communities in California # HurricaneMaria,affected_individuals
 People looking for help amid the wildfires in Mexico,affected_individuals
 Family in flood flood stricken county reunites with loved ones,affected_individuals
 Irma leaves thousands without homes,affected_individuals
 Maria s death toll up to 225 : :A,affected_individuals
 RT @jamesmorrisman : California is # HurricaneHarvey -,affected_individuals
 Family & friends are fleeing Hurricane Maria. We are working hard to help.,affected_individuals
 RT @wtvr : Hurricane Maria destroyed Puerto Rico school s roof s playground,affected_individuals
 RT @WSB : Houston firefighters battling flooding in Southwestern US.,affected_individuals
 Harvey victims and their children face immense devastation,affected_individuals
 Hurricane Irma victims in the Caribbean have received little assistance since Hurricane Maria hit...,affected_individuals
 Texas man lost everything after Hurricane Harvey,affected_individuals
" Our team did not return to Puerto Rico after Irma hit. So, I still don't have all the info",affected_individuals
 Floods leave one California family without power,affected_individuals
 RT @Reuters : California wildfires : A girl finds herself in a shelter with no family,affected_individuals
 One woman in Georgia with severe asthma dies in a storm,affected_individuals
 Hurricane Maria evacuees heading to the US mainland to get medical care at the latest # RT # wjrear # @wsj,affected_individuals
 Harvey evacuees turn to work on roofs,affected_individuals
 RT @YahooNews : Florida man is looking for help after a house was damaged by Irma # LiveNews,affected_individuals
 Irma aftermath hits women hard,affected_individuals
" Survivors, survivors of Puerto Rico earthquake fear that they will not return home until Hurricane Maria is done.",affected_individuals
 We are still at the beach with debris. # Irma # Harvey,infrastructure_and_utility_damage
 # NewYork : Puerto Rico a major island in financial collapse,infrastructure_and_utility_damage
" After s earthquake hit Mexico, s people could benefit from a few things. A $ 1 per month package of food and supplies to victims of s earthquake.",infrastructure_and_utility_damage
 RT @TAMUROBX : California wildfires burn the nation to death,infrastructure_and_utility_damage
 Hurricane Irma Damage -,infrastructure_and_utility_damage
 RT @SueHudsonNews : Hurricane Irma destruction in Florida and in Key West continues to be heavy.,infrastructure_and_utility_damage
 RT @wap7news : The massive flooding in Puerto Rico could impact Florida today. @wsvn,infrastructure_and_utility_damage
 Hurricane Irma - Mexico earthquake : Mexico earthquake survivor rebuilds her family home with...,infrastructure_and_utility_damage
 RT @Maddox_Riley : People and animals flee hurricane Irma,infrastructure_and_utility_damage
 RT @TNS : # SriLanka : SriLanka : # fire damaged a school for displaced people,infrastructure_and_utility_damage
 # # wildfires in # California # Mexico # MexicoEast # wildfires # ash # ashslings # wildfires,infrastructure_and_utility_damage
" California wildfire destroys 100 buildings, causes 5,000 homes to burn",infrastructure_and_utility_damage
 RT @ABC11News : California wildfires kill 14 people : 2 adults and one child among them,infrastructure_and_utility_damage
 A Hurricane Harvey survivor uses a drone to view damage to her house in Port Arthur.,infrastructure_and_utility_damage
 A tornado was reported over northern Georgia.,infrastructure_and_utility_damage
 First responders continue to assess the damage from # HurricaneMaria,infrastructure_and_utility_damage
" Hurricane Maria destroyed homes, damaged businesses and infrastructure. So it only makes sense to take advantage of",infrastructure_and_utility_damage
